edisi,tahun,tgl_mulai,tgl_selesai,tuan_rumah,provinsi,juara_umum
1,1948,08/09/1948,12/09/1948,Surakarta,Jawa Tengah,Jawa Tengah
2,1951,21/10/1951,28/10/1951,Jakarta,DKI Jakarta,Jawa Barat
3,1953,20/09/1953,27/09/1953,Medan,Sumatra Utara,Jawa Barat
4,1957,27/09/1957,06/10/1957,Makassar,Sulawesi Selatan,DKI Jakarta
5,1961,23/09/1961,01/10/1961,Bandung,Jawa Barat,DKI Jakarta
6,1965,08/10/1965,10/11/1965,Jakarta,DKI Jakarta,dibatalkan
7,1969,26/08/1969,06/09/1969,Surabaya,Jawa Timur,DKI Jakarta
8,1973,04/08/1973,15/08/1973,Jakarta,DKI Jakarta,DKI Jakarta
9,1977,23/07/1977,03/08/1977,Jakarta,DKI Jakarta,DKI Jakarta
10,1981,19/09/1981,30/09/1981,Jakarta,DKI Jakarta,DKI Jakarta
11,1985,09/09/1985,20/09/1985,Jakarta,DKI Jakarta,DKI Jakarta
12,1989,18/10/1989,29/10/1989,Jakarta,DKI Jakarta,DKI Jakarta
13,1993,09/09/1993,19/09/1993,Jakarta,DKI Jakarta,DKI Jakarta
14,1996,09/09/1996,25/09/1996,Jakarta,DKI Jakarta,DKI Jakarta
15,2000,19/06/2000,30/06/2000,Surabaya,Jawa Timur,Jawa Timur
16,2004,02/09/2004,14/09/2004,Palembang,Sumatra Selatan ,DKI Jakarta
17,2008,06/07/2008,17/07/2008,Samarinda,Kalimantan Timur,Jawa Timur
18,2012,09/09/2012,20/09/2012,Pekanbaru,Riau,DKI Jakarta
19,2016,17/09/2016,29/09/2016,Bandung,Jawa Barat,Jawa Barat
20,2021,02/10/2021,15/10/2021,Jayapura,Papua,Jawa Barat
